IlluminaHumanMethylation450kmanifest     NOT FOUND
GeneticsBase                             origin/RELEASE_2_6             software.txt
GenoView                                 origin/RELEASE_3_3             software.txt
flowPhyto                                origin/RELEASE_2_14            software.txt
makePlatformDesign                       origin/RELEASE_2_8             software.txt
Agi4x44PreProcess                        origin/RELEASE_2_13            software.txt
asmn                                     origin/RELEASE_3_0             software.txt
arrayMagic                               origin/RELEASE_2_1             software.txt
pgUtils                                  origin/RELEASE_2_13            software.txt
neaGUI                                   origin/RELEASE_3_3             software.txt
cosmoGUI                                 origin/RELEASE_2_11            software.txt
flowFlowJo                               origin/RELEASE_3_0             software.txt
pairseqsim                               origin/RELEASE_1_9             software.txt
exonmap                                  origin/RELEASE_2_7             software.txt
snpMatrix                                origin/RELEASE_2_8             software.txt
iSPlot                                   origin/RELEASE_2_1             software.txt
ontoTools                                origin/RELEASE_2_9             software.txt
reposTools                               origin/RELEASE_1_8             software.txt
Rintact                                  origin/RELEASE_2_4             software.txt
